2021-10-06 20:33:10.0110||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 20:33:32.8482||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 20:33:34.8704|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 20:33:35.3934||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 20:33:35.3934||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 20:33:35.4008||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 20:34:53.4536||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 20:34:55.4253|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 20:34:55.9876||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 20:34:55.9951||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 20:34:55.9951||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 20:39:52.5314||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 20:39:54.6989|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 20:39:55.2454||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 20:39:55.2454||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 20:39:55.2599||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 20:48:58.4918||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 20:49:01.5415|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 20:49:02.2526||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 20:49:02.2583||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 20:49:02.2721||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 20:50:22.7389||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 20:50:24.9986|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 20:50:25.5238||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 20:50:25.5238||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 20:50:25.5238||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 20:51:23.0351||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 20:51:25.1741|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 20:51:25.6916||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 20:51:25.6924||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 20:51:25.6924||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 21:06:53.7485||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 21:06:57.2392|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
